,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec, ANNUAL,FLOODS,avg_june,sub
70,KERALA,1971,31.6,18.5,20.0,113.0,317.5,889.6,648.6,385.2,331.2,220.9,38.3,62.3,50.1,450.5,2254.6,321.5,3076.8,1,296.53333333333336,572.1
71,KERALA,1972,2.6,7.5,2.5,87.5,436.0,401.8,714.4,294.9,185.7,351.5,140.5,114.3,10.1,526.0,1596.8,606.3,2739.4,0,133.93333333333334,34.19999999999999
72,KERALA,1973,0.0,0.3,12.3,131.5,119.9,617.0,583.5,487.5,61.3,260.8,84.5,53.8,0.3,263.7,1749.3,399.1,2412.5,0,205.66666666666666,497.1
73,KERALA,1974,1.6,5.4,16.0,128.0,221.5,266.9,1004.2,533.6,383.6,142.1,61.0,3.6,7.0,365.5,2188.3,206.7,2767.4,0,88.96666666666665,45.39999999999998
74,KERALA,1975,5.2,21.4,63.4,123.8,162.2,864.4,531.3,675.9,457.7,368.9,204.3,19.9,26.6,349.4,2529.3,593.1,3498.4,1,288.1333333333333,702.2
75,KERALA,1976,0.1,1.5,21.0,134.5,75.8,196.8,641.5,342.6,116.2,221.3,286.7,30.8,1.6,231.3,1297.1,538.8,2068.8,0,65.60000000000001,121.00000000000001
76,KERALA,1977,1.1,15.7,28.3,102.3,306.4,599.6,753.3,234.2,201.3,437.0,361.7,6.7,16.8,437.0,1788.4,805.4,3047.6,1,199.86666666666667,293.20000000000005
77,KERALA,1978,3.3,14.7,31.4,73.9,396.8,758.1,686.7,516.8,119.4,171.0,365.6,39.0,18.0,502.1,2081.0,575.6,3176.7,1,252.70000000000002,361.3
78,KERALA,1979,2.4,30.0,11.7,42.0,127.7,582.9,662.2,383.7,211.7,163.8,261.7,23.3,32.4,181.4,1840.5,448.8,2503.0,0,194.29999999999998,455.2
79,KERALA,1980,0.0,0.9,20.8,114.8,105.3,745.9,754.0,438.1,139.5,282.3,162.3,39.5,0.9,240.9,2077.5,484.1,2803.4,0,248.63333333333333,640.6
80,KERALA,1981,7.0,6.8,28.5,75.9,166.3,912.4,489.8,495.6,376.6,265.0,138.6,43.3,13.8,270.7,2274.4,446.9,3005.9,1,304.1333333333333,746.0999999999999
81,KERALA,1982,0.7,0.1,21.9,60.4,148.2,612.2,511.5,495.0,70.6,164.4,127.5,10.8,0.8,230.5,1689.3,302.7,2223.3,0,204.0666666666667,464.00000000000006
82,KERALA,1983,0.2,1.5,0.9,13.1,76.0,322.8,583.2,579.9,421.1,136.2,116.5,69.1,1.7,90.0,1907.0,321.8,2320.3,0,107.60000000000001,246.8
83,KERALA,1984,36.8,60.0,95.3,162.1,84.6,842.6,653.6,284.4,171.1,286.0,67.7,18.0,96.8,342.0,1951.7,371.7,2762.1,0,280.8666666666667,758.0
